Release Date;Time;Actual;Forecast;Previous;
Sep 05, 2025 (Aug);8:30;22K;75K;79K;
Aug 01, 2025 (Jul);8:30;73K;106K;14K;
Jul 03, 2025 (Jun);8:30;147K;111K;144K;
Jun 06, 2025 (May);8:30;139K;126K;147K;
May 02, 2025 (Apr);8:30;177K;138K;185K;
Apr 04, 2025 (Mar);8:30;228K;137K;117K;
Mar 07, 2025 (Feb);9:30;151K;159K;125K;
Feb 07, 2025 (Jan);9:30;143K;169K;307K;
Jan 10, 2025 (Dec);9:30;256K;164K;212K;
Dec 06, 2024 (Nov);9:30;227K;202K;36K;
Nov 01, 2024 (Oct);8:30;12K;106K;223K;
Oct 04, 2024 (Sep);8:30;254K;147K;159K;
Sep 06, 2024 (Aug);8:30;142K;164K;89K;
Aug 02, 2024 (Jul);8:30;114K;176K;179K;
Jul 05, 2024 (Jun);8:30;206K;191K;218K;
Jun 07, 2024 (May);8:30;272K;182K;165K;
May 03, 2024 (Apr);8:30;175K;238K;315K;
Apr 05, 2024 (Mar);8:30;303K;212K;270K;
Mar 08, 2024 (Feb);9:30;275K;198K;229K;
Feb 02, 2024 (Jan);9:30;353K;187K;333K;
Jan 05, 2024 (Dec);9:30;216K;170K;173K;
Dec 08, 2023 (Nov);9:30;199K;180K;150K;
Nov 03, 2023 (Oct);8:30;150K;180K;297K;
Oct 06, 2023 (Sep);8:30;336K;170K;227K;
Sep 01, 2023 (Aug);8:30;187K;170K;157K;
Aug 04, 2023 (Jul);8:30;187K;200K;185K;
Jul 07, 2023 (Jun);8:30;209K;225K;306K;
Jun 02, 2023 (May);8:30;339K;180K;294K;
May 05, 2023 (Apr);8:30;253K;180K;165K;
Apr 07, 2023 (Mar);8:30;236K;239K;326K;
Mar 10, 2023 (Feb);9:30;311K;205K;504K;
Feb 03, 2023 (Jan);9:30;517K;185K;260K;
Jan 06, 2023 (Dec);9:30;223K;200K;256K;
;;;;;
;;;;;
;;;;;